product,forums,news,twitter,video,convo_vol,positive_vol,neutral_vol,negative_vol,senti_score_avg,senti_score_wk,week,units,index,views,group,cat,period
an,4449,56,1815,4699,11019,2974,4496,3549,53,64,78,14323,0.397166667,3823531,an,Action,postlaunch
an,4708,85,2326,3490,10609,2969,4210,3430,54.42857143,62,79,6964,0.461866667,1158637,an,Action,postlaunch
an,4742,145,2060,2967,9914,2608,3922,3384,48.57142857,48,80,11617,0.427733333,1039778,an,Action,postlaunch
an,9065,91,6482,4492,20130,4049,9805,6275,41.57142857,49,81,10493,0.459466667,1809396,an,Action,postlaunch
an,6864,48,2085,2732,11729,2728,4694,4292,39.14285714,36,82,9721,0.494966667,1440898,an,Action,postlaunch
an,5010,48,1796,1878,8732,2138,3869,2717,49.42857143,53,83,7874,0.446866667,1476436,an,Action,postlaunch
an,12153,30,2292,2321,16796,5119,7327,4337,61.28571429,58,84,3699,0.341166667,1418033,an,Action,postlaunch
g1,2911,49,85983,17546,106489,14677,83744,8068,59.71428571,54,-16,27169,10.13086667,27792709,g,Sports,prelaunch
g1,4749,52,30138,31448,66387,17718,38991,9678,75.42857143,70,-15,75732,11.92313333,68137918,g,Sports,prelaunch
g1,1364,7,3733,9423,14527,3709,7893,2925,66.28571429,75,-14,31418,6.096733333,17868135,g,Sports,prelaunch
g1,1761,58,3067,8334,13220,3444,7182,2594,65.71428571,68,-13,41528,5.721333333,14722710,g,Sports,prelaunch
g1,887,2,40469,7479,48837,3437,43208,2192,63.57142857,64,-12,33296,6.7097,14829101,g,Sports,prelaunch
g1,1240,1,12157,11988,25386,4754,17585,3047,65.85714286,71,-11,42441,8.386633333,19536528,g,Sports,prelaunch
g1,1373,1,36839,16676,54889,27402,23659,3828,79.57142857,90,-10,48817,10.01213333,42850065,g,Sports,prelaunch
g1,1891,174,26891,23598,52554,15531,30893,6130,78.42857143,83,-9,64263,12.32526667,52688912,g,Sports,prelaunch
g1,3010,110,68514,32001,103635,34933,58176,10526,85.71428571,79,-8,76386,15.38726667,45403118,g,Sports,prelaunch
g1,6126,96,128679,32651,167552,47071,87670,32811,69.71428571,54,-7,97343,23.03116667,57495711,g,Sports,prelaunch
g1,5704,56,58211,36130,100101,19858,63006,17237,61.28571429,58,-6,105722,22.43176667,48400561,g,Sports,prelaunch
g1,6188,228,48776,38629,93821,25598,52656,15567,69.42857143,66,-5,133159,25.48666667,64725647,g,Sports,prelaunch
g1,3068,185,53149,38170,94572,21300,61155,12117,70.42857143,69,-4,190938,29.15813333,71030109,g,Sports,prelaunch
g1,5756,148,114143,41715,161762,29951,114341,17470,67.14285714,58,-3,261540,42.35693333,64164425,g,Sports,prelaunch
g1,10748,289,157802,82145,250984,50410,170916,29658,68.57142857,72,-2,370818,77.0952,153202961,g,Sports,prelaunch
g1,8345,400,187659,104156,300560,54370,213759,32431,67.71428571,69,-1,675393,76.965,174889787,g,Sports,prelaunch
g1,9277,658,354077,148806,512818,111421,353141,48256,74,78,0,7769367,113.6162333,263307069,g,Sports,launch
g1,9411,884,159771,143526,313592,83771,183760,46061,75.71428571,76,1,1658645,45.5355,234770583,g,Sports,postlaunch
g1,5770,236,98647,118708,223361,58244,130041,35076,73.57142857,76,2,762313,28.22953333,193342817,g,Sports,postlaunch
g1,4986,119,86323,126433,217861,57484,124984,35393,73.28571429,73,3,483720,20.55506667,176264204,g,Sports,postlaunch
g1,4320,41,70137,115371,189869,51005,106864,32000,72.42857143,87,4,443712,19.58003333,159859491,g,Sports,postlaunch
g1,5413,106,48402,94073,147994,40297,81259,26438,72.28571429,73,5,425433,17.43933333,151402047,g,Sports,postlaunch
g1,4056,343,75440,84321,164160,42329,95867,25964,71.14285714,71,6,305934,15.8118,142393347,g,Sports,postlaunch
g1,4092,29,58214,106579,168914,42244,96852,29818,69.42857143,71,7,488593,16.62666667,147915139,g,Sports,postlaunch
g1,4254,27,152211,114849,271341,47537,188318,35486,63.57142857,62,8,1593263,26.11573333,144500728,g,Sports,postlaunch
g1,4447,43,66610,109581,180681,47274,105213,28194,73.28571429,71,9,609387,20.32866667,146320331,g,Sports,postlaunch
g1,4212,26,55793,96534,156565,35493,93955,27117,66.14285714,70,10,436922,18.5487,136531413,g,Sports,postlaunch
g1,4691,20,99045,95732,199488,44675,123585,31228,66.42857143,61,11,631042,18.7034,141675656,g,Sports,postlaunch
g1,5757,45,90508,93695,190005,39916,119762,30327,64.85714286,66,12,952012,18.16966667,145004263,g,Sports,postlaunch
g1,5408,24,49990,103291,158713,40055,91705,26953,70.42857143,70,13,864851,19.65636667,148822251,g,Sports,postlaunch
g1,6425,47,66303,124727,197502,49871,114451,33180,70,65,14,511224,13.12436667,157425471,g,Sports,postlaunch
g1,5343,222,92473,118736,216774,58383,123670,34721,73.57142857,65,15,267634,11.01563333,182441606,g,Sports,postlaunch
g1,4628,40,60787,96297,161752,44994,89785,26973,74,80,16,136647,9.650233333,151097176,g,Sports,postlaunch
g1,5045,36,40638,108330,154049,41598,83969,28482,71.14285714,76,17,120694,8.6132,135965605,g,Sports,postlaunch
g1,4692,52,36812,101421,142977,38819,78402,25756,72.42857143,72,18,146317,8.896466667,136616552,g,Sports,postlaunch
g1,5689,41,51166,87813,144709,45500,74003,25206,74.85714286,79,19,132824,8.0351,135948201,g,Sports,postlaunch
g1,3985,31,35236,90511,129763,31862,73686,24215,67.14285714,73,20,145116,8.709633333,122823848,g,Sports,postlaunch
g1,5157,13,26719,112859,144748,35805,85651,23292,70.71428571,68,21,138016,7.839066667,132705954,g,Sports,postlaunch
g1,4750,14,26356,82257,113377,28589,62926,21862,67.57142857,71,22,124331,6.9378,115176126,g,Sports,postlaunch
g1,3998,8,28161,75396,107563,26471,62548,18544,69.42857143,67,23,171874,7.148233333,123546075,g,Sports,postlaunch
g1,3721,8,21298,77124,102151,27223,56507,18421,71.71428571,70,24,216012,6.6834,120066003,g,Sports,postlaunch
g1,4891,10,56651,75569,137121,26119,92131,18871,65.57142857,71,25,153888,6.880666667,118620881,g,Sports,postlaunch
g1,4648,6,40931,77410,122995,34711,68964,19320,74.85714286,76,26,100545,6.125066667,133272882,g,Sports,postlaunch
g1,4200,7,20055,66818,91080,23446,50839,16795,69.57142857,68,27,79786,5.848666667,126530827,g,Sports,postlaunch
g1,4428,12,26596,71544,102580,25082,56731,20767,65.14285714,75,28,88222,6.197966667,122164045,g,Sports,postlaunch
g1,3327,16,19042,77246,99631,25509,55674,18448,69.57142857,71,29,185950,5.666666667,123819503,g,Sports,postlaunch
g1,3125,13,18405,67959,89502,21840,50846,16816,67,70,30,169714,5.7052,122875239,g,Sports,postlaunch
g1,3447,5,24285,68630,96367,22620,56506,17241,66.57142857,68,31,91987,5.6091,120248460,g,Sports,postlaunch
g1,4239,32,37874,67119,109264,23446,66171,19647,63,61,32,86940,6.333566667,116441654,g,Sports,postlaunch
g1,3762,11,28670,74341,106784,26057,62153,18574,68.42857143,69,33,81137,5.597466667,126444907,g,Sports,postlaunch
g1,4471,41,17572,84704,106788,30535,55452,20801,72.28571429,72,34,104709,5.539833333,128791242,g,Sports,postlaunch
g1,5633,13,19057,86266,110969,30780,59802,20387,72.57142857,69,35,157228,6.335466667,127157244,g,Sports,postlaunch
g1,6239,23,21702,64269,92233,22865,50190,19178,64.85714286,64,36,145676,6.330533333,118008270,g,Sports,postlaunch
g1,5379,18,19986,69503,94886,24653,52776,17457,69.85714286,61,37,149081,6.1476,123839464,g,Sports,postlaunch
g1,3378,22,18695,65801,87896,21385,49168,17343,65.28571429,69,38,96274,5.736566667,119637638,g,Sports,postlaunch
g1,3890,70,17153,63772,84885,23588,45129,16168,71.85714286,71,39,67571,5.381066667,119804773,g,Sports,postlaunch
g1,10159,232,15469,53529,79389,19586,43293,16510,64.42857143,63,40,85117,5.624133333,106938003,g,Sports,postlaunch
g1,12578,67,19607,56016,88268,20418,48585,19265,60.85714286,57,41,91144,5.233366667,102341931,g,Sports,postlaunch
g1,11310,71,13919,46489,71789,18210,38173,15406,65.14285714,66,42,97823,4.762866667,91378009,g,Sports,postlaunch
g1,11813,67,12906,49903,74689,17927,41146,15616,63.57142857,60,43,107674,4.152733333,88270557,g,Sports,postlaunch
g1,12320,430,15414,50698,78862,19366,44011,15485,66.14285714,69,44,101658,3.916733333,87948321,g,Sports,postlaunch
g1,13753,375,15252,49505,78885,19412,42905,16568,64.28571429,62,45,69533,3.856533333,82521000,g,Sports,postlaunch
g1,9568,30,14685,39586,63869,16414,35017,12438,67.28571429,63,46,63717,3.370433333,72299779,g,Sports,postlaunch
g1,6814,33,9454,27152,43453,10131,24934,8388,64.28571429,61,47,76594,3.2274,63585684,g,Sports,postlaunch
